system time,modelled battery use nWh,fuel gauge consumption nWh,adb consumption mAh,Execution Time seconds,Battery Temperature before run in tenth of C,Battery Temperature after run in tenth of C,CPU-therm before run,CPU-therm after run in,average voltage,average percentage,AUT Jiffy,average of all deviations,dev. in length,LOC executed,AUT VM,advance iterations,noWhile,calls,advance total time nano sec,test suite total time nano sec,total number of tests,total number of failed tests,total number of passed tests,averageDeviation_EXPECTED_POSITIONS_UNCLAMPED,dev. in length,averageDeviation_EXPECTED_VELOCITIES_UNCLAMPED,dev. in length,averageDeviation_EXPECTED_POSITIONS_CLAMPED,dev. in length,averageDeviation_EXPECTED_VELOCITIES_CLAMPED,dev. in length,averageDeviation_testSettingVelocityTriggersIteration,dev. in length,averageDeviation_testSettingCurrentValueWithoutSettingAtRestTriggersIteration,dev. in length,averageDeviation_testSpringMotionWithNoFriction,dev. in length,
1606515348220,1.5292544E7,15292544,6.0,20.021,-2147483648,30200,-2147483648,30200,4185.0,97.0,1943.0,0.87458875508063604886643815916613675653934478759765625,0.2070461594855344,53497,13.288894653320313,2347,0,198,18943137473,1.8963123727E10,8,7,1,0.00958533433987065,0.0,0.1518057642644558,0.0,0.03663883838805212,0.0,0.8696594278101637,0.0,1.5362920943763352,0.36619718309859156,0.018446211367137286,0.4489795918367347,3.499693615018438,0.6341463414634146,
1606515370957,1.5542072E7,15542072,6.0,20.081,-2147483648,30300,-2147483648,30300,4185.0,97.0,1947.0,0.87458875508063604886643815916613675653934478759765625,0.2070461594855344,53497,13.322433471679688,2347,0,198,18947424223,1.8966607561E10,8,7,1,0.00958533433987065,0.0,0.1518057642644558,0.0,0.03663883838805212,0.0,0.8696594278101637,0.0,1.5362920943763352,0.36619718309859156,0.018446211367137286,0.4489795918367347,3.499693615018438,0.6341463414634146,
1606515375823,1937439.0,1937439,1.0,2.152,-2147483648,30200,-2147483648,30200,4185.0,97.0,158.0,17.980659041907454565034640836529433727264404296875,0.40883228690209955,2828,13.176254272460938,2,116,118,1040666020,1.061213689E9,8,7,1,3.734725117166844,0.0,115.05428973944646,0.0,0.5502954430767693,0.0,5.09736867992783,0.0,0.5002469107683888,0.971830985915493,0.03795202965621673,0.9387755102040817,0.8897353733096897,0.9512195121951219,
1606515398569,1.5422725E7,15422725,5.0,20.09,-2147483648,30300,-2147483648,30300,4185.0,97.0,1946.0,0.87458875508063604886643815916613675653934478759765625,0.2070461594855344,53497,13.271682739257813,2347,0,198,18951607392,1.8971796061E10,8,7,1,0.00958533433987065,0.0,0.1518057642644558,0.0,0.03663883838805212,0.0,0.8696594278101637,0.0,1.5362920943763352,0.36619718309859156,0.018446211367137286,0.4489795918367347,3.499693615018438,0.6341463414634146,
1606515421298,1.5328183E7,15328183,6.0,20.086,-2147483648,30300,-2147483648,30300,4185.0,97.0,1947.0,0.87458875508063604886643815916613675653934478759765625,0.2070461594855344,53497,13.284805297851563,2347,0,198,18939520055,1.8959051891E10,8,7,1,0.00958533433987065,0.0,0.1518057642644558,0.0,0.03663883838805212,0.0,0.8696594278101637,0.0,1.5362920943763352,0.36619718309859156,0.018446211367137286,0.4489795918367347,3.499693615018438,0.6341463414634146,
1606515451128,2.0750133E7,20750133,7.0,27.198,-2147483648,30300,-2147483648,30300,4185.0,97.0,2661.0,0.94189510363744999299484561561257578432559967041015625,0.1493720911832368,73701,13.395248413085938,3243,0,218,26070991685,2.6093099521E10,8,7,1,0.007406546612056713,0.0,0.10587205427960557,0.0,0.02517095357836834,0.0,0.6467850935905761,0.0,1.2399450507950296,0.2676056338028169,0.013474484608533868,0.3877551020408163,4.55461154199798,0.3902439024390244,
1606515473838,1.541787E7,15417870,6.0,20.094,-2147483648,30300,-2147483648,30300,4185.0,96.5,1948.0,0.87458875508063604886643815916613675653934478759765625,0.2070461594855344,53497,13.33197021484375,2347,0,198,18946019891,1.8967443059E10,8,7,1,0.00958533433987065,0.0,0.1518057642644558,0.0,0.03663883838805212,0.0,0.8696594278101637,0.0,1.5362920943763352,0.36619718309859156,0.018446211367137286,0.4489795918367347,3.499693615018438,0.6341463414634146,
1606515496542,1.566509E7,15665090,5.0,20.038,-2147483648,30300,-2147483648,30300,4185.0,96.0,1947.0,0.87458875508063604886643815916613675653934478759765625,0.2070461594855344,53497,13.350662231445313,2347,0,198,18910296634,1.8930110053E10,8,7,1,0.00958533433987065,0.0,0.1518057642644558,0.0,0.03663883838805212,0.0,0.8696594278101637,0.0,1.5362920943763352,0.36619718309859156,0.018446211367137286,0.4489795918367347,3.499693615018438,0.6341463414634146,
1606515519241,1.5302904E7,15302904,6.0,20.053,-2147483648,30300,-2147483648,30300,4185.0,96.0,1944.0,0.87458875508063604886643815916613675653934478759765625,0.2070461594855344,53497,13.331253051757813,2347,0,198,18928063973,1.8950357805E10,8,7,1,0.00958533433987065,0.0,0.1518057642644558,0.0,0.03663883838805212,0.0,0.8696594278101637,0.0,1.5362920943763352,0.36619718309859156,0.018446211367137286,0.4489795918367347,3.499693615018438,0.6341463414634146,
1606515542129,1.5717778E7,15717778,5.0,20.195,-2147483648,30300,-2147483648,30300,4185.0,96.0,1959.0,0.92408018511079503820582203843514434993267059326171875,0.2035618389280431,53861,13.336105346679688,2363,0,199,19062535650,1.9082410737E10,8,7,1,0.00958533433987065,0.0,0.1518057642644558,0.0,0.03663883838805212,0.0,0.8696594278101637,0.0,1.5362920943763352,0.36619718309859156,0.018446211367137286,0.4489795918367347,3.8461336252295504,0.6097560975609756,
